KEY,English,Russian
igmNoWarpAttackTimeout,We are under attack! Warp not possible for {0}s,Мы атакованы! Прыжок невозможен в течение {0} с.
rgwTeleport,Teleport,Телепорт
rgwCancel,Cancel,Отмена
smwSystemMapTitle,SYSTEM MAP,КАРТА СИСТЕМЫ
mnuRespSurvivalTent,Survival Tent,Палатка
mnuRespSurvivalTentDescr,Respawn at your closest Survival Tent,Возрождение в ближайшей палатке
msgDenyActivMAIN,Cannot activate PDA chapter because {0} - please try again later!,"Невозможно активировать главу КПК, потому что {0} - повторите попытку позже!"
msgDenyActivByLevel,your level is not high enough,ваш уровень недостаточно высок
msgDenyActivByCredits,you don't have enough credits,у вас недостаточно кредитов
msgDenyActivByPlayfield,you're not in an allowed playfield,вы не в разрешенном игровом поле
msgDenyActivByReputation,your reputation is not good enough,ваша репутация недостаточно хороша
msgDenyActivWhenRewarded,chapter needs to be rewarded first,глава требует вначале взять вознаграждение
bmTacticalStrike,Tactical Strike,Тактический удар
bmAtomicWeaponry,Atomic Weaponry,Атомное оружие
bmGlassedTerrain,Glassed Terrain,Стекловидная местность
bmGeoBuster,Geo Buster,Разрушенная местность
bmStructure,Structure,Структуры
bmOrganized,Organized,Организованность
bmProximity,Proximity,Близость
bmActive,Active,Активность
bmRemnant,Remnant,Остаток
filterBookmark,Show only your bookmarks,Показать только ваши отметки
filterTerrainPlaceables,Show only terrain placeables,Показать только возможность стройки
filterResources,Show only resources,Показать только ресурсы
cplDistance,Distance,Дистанция
telepRange,Maximum Teleporter Range: {0} LY,Макс. дальность Телепорта: {0} СГ
telepCurrentSector,Maximum Teleporter Range: current sector,Макс. дальность Телепорта: текущий сектор
igmRadarScanTimeout,Please wait for scanner to recharge,Сканер перезаряжается. Ждите.
mapUnknownPOI,<?>,<?>
mapUnknownResource,<Resource>,<Ресурсы>
rgwWaypointsOff,Reset Waypoints,Сбросить отметки
bkiDetector,Allows to scan an area for structures and resources in range of the device.\nWorks on planets and in space.,Позволяет сканировать область на наличие структур и ресурсов в радиусе действия устройства.\nРаботает на планетах и в космосе.
RadarSuitT1,Detector,Детектор
DetectorCV,Detector,Детектор
igmGeneratorOverload,Overload damage detected!\nGenerator remaining health: {0} %,Обнаружено повреждение от перегрузки!\nСостояние генератора: {0} %
TheLegacy,The Legacy,Наследие
Trader,Traders Guild,Гильдия Торговцев
Zirax,Zirax Empire,Империя Зиракс
Talon,Talon,Талон
Polaris,Polaris Megacorp,Полярис Мегакорп
Kriel,Kriel Empire,Империя Крил
UCH,UCH,UCH
TitanOre,Titanium Ore,Титановая руда
TitanRods,Titanium Rods,Титановые стержни
TitanPlates,Titanium Plates,Титановые пластины
Publish,Publish,Опубликовать
BlastDoorLargeBlocks,Blast Door Blocks,Блоки бункерных дверей
TeleporterBA,Teleporter,Телепортатор
TeleporterCV,Teleporter,Телепортатор
bkiTeleporterCV,Allows to teleport in the same sector. Cannot be used when the vessel is moving.,"Позволяет телепортироваться в тот же сектор. Не может использоваться, когда судно движется."
bkiTeleporterBA,Allows to teleport to far away targets.,Позволяет телепортироваться к дальним целям.
bkiCoreNoCPU,Upgrade device for the standard core. Removes the CPU limitation!,Модернизация устройства под стандартное ядро. Снимает ограничение на ЦП!
CoreNoCPU,Advanced Core,Продвинутое Ядро
mapSectorMapTitle,System Map,Карта Системы
mapTitanResource,Titanium,Титан
IceBlocks,Ice Blocks,Ледяные блоки
TitanResource,Titanium deposit,Залежи Титана
mapIceResource,Ice,Лед
igmWeaponNotShootableInPvP,Not allowed to use this device in PvP areas,Не разрешается использовать это устройство в зонах PvP
igmWeaponNotShootableInPvE,Not allowed to use this device in PvE areas,Не разрешается использовать это устройство в зонах PvE
lblInvalidSeed,Invalid Seed,Неверное зерно
hudVesselAltitude,"Altitude Indicator: shows distance in meters between terrain and orbit. The pin on the left of the bar indicates the current height above the ground while the small pin on the right indicates ground level with relation to the bedrock. While in space, this bar will become inverted and label indicators display the current distance to the transitional atmosphere.","Индикатор высоты: показывает расстояние в метрах между местностью и орбитой. Штифт слева от стержня показывает текущую высоту над землей, в то время как маленький штифт справа показывает уровень земли относительно коренной породы. Находясь в космосе, эта полоса станет инвертированной, а на индикаторах меток отобразится текущее расстояние до переходной атмосферы."
hudVesselBearing,Bearing Indicator: shows the current bearing of the vessel in degrees.,Индикатор пеленга: показывает текущий курс судна в градусах.
hudVesselSpeed,"Speed Indicator: displays the vessel's:\n\nMax Speed\nCurrent Speed\nBoosted Speed\n\nAdditionally, the Throttle Indicator displays the percentage of open throttle to the vessel's engines.","Индикатор скорости: отображает у судна:\n\nМакс.Скорость\nТекущая скорость\nПовышенная скорость\n\nКроме того, индикатор дроссельной заслонки отображает процент открытой дроссельной заслонки для двигателей судна."
hudVesselBoost,"Boost Indicator: if the vessel is capable of thrust boost, this displays the booster's current fill status.","Индикатор ускорения: если судно способно усилить тягу, отображается текущее состояние заполнения ускорителя."
hudVesselBoostDirection,"Boost Direction Indicator: if the vessel is equipped with thrust boosters, the display will indicate in which direction boosting is available. If an attempt is made to boost in a direction unavailable to the vessel, that indicator will light as orange.","Индикатор направления усиления: если на судах установлены усилители тяги, на дисплее будет отображаться, в каком направлении возможно усиление. Если будет предпринята попытка повысить скорость в недоступном для судна направлении, этот индикатор загорится оранжевым."
hudDocking,Docking Indicator: activated when the vessel is docked.,Индикатор стыковки: активируется при стыковке судна.
hudMovementMode,Movement Mode: shows in which directions the auto-brake will engage.,"Режим движения: показывает, в каком направлении включается автоматический тормоз."
hudCruiseMode,Cruise Mode Indicator: activated when the vessel is in cruise mode.,"Индикатор круизного режима: активируется, когда судно находится в круизном режиме."
hudPassengers,Passengers: will indicate if there are currently passengers as well as the count of passengers.,"Пассажиры: укажет, есть ли в данный момент пассажиры, а также количество пассажиров."
hudDrillMode,Drill Mode: indicates if there is a drill equipped and is active,"Режим бурения: указывает, имеется ли бур в рабочем состоянии и активен ли он"
hudFixedMovement,Fixed Movement: indicates if the vessel is currently in Fixed Movement mode.,"Фиксированное движение: указывает, находится ли судно в режиме фиксированного движения."
hudVesselPower,Displays the current level of power consumption.,Отображает текущий уровень энергопотребления.
hudVesselFuel,Displays the current level of fuel in all tanks in minutes.,Отображает текущий уровень топлива во всех баках в минутах.
hudVesselOxygen,Displays the remaining percentage of oxygen in the tanks.,Отображает оставшийся процент кислорода в резервуарах.
hudVesselPentaxid,Displays the current level of Pentaxid.,Отображает текущий уровень Пентаксида.
hudShield,"Shields: show the current status of the vessel's shields, if equipped.","Щиты: показывает текущее состояние щитов судна, если они имеются."
hudAmmo,"Ammo/Harvest Cargo: displays the current ammo type and count of the selected weapon. In the case of a drill or harvester, it will display the total usage of available cargo space for resources.","Боезапас/Груз: отображает текущий тип боеприпасов и количество, если оружие активно выбрано. В случае сеялки или комбайна будет отображаться общее использование доступного грузового пространства для ресурсов."
hudLatLon,Displays the vessel's current position,Отображает текущее положение судна
hudRadar,Radar Display: shows locations of various contacts with relation to the vessel's position.,Дисплей радара: показывает расположение различных контактов в зависимости от положения судна.
cplOther,Other,Прочее
lblBugsSuggestions,Bugs / Suggestions? Please check our forum!,"Ошибки / Предложения? Пожалуйста, проверьте наш форум!"
MoonBarren,Moon,Луна
Orbit,Orbit,Орбита
LegacyInfested,Danger,Опасность
Junkyard,Debris Field,Поле обломков
EmptySpace,Empty Space,Пустое пространство
AsteroidField,Asteroid Field,Поле астероидов
AsteroidFieldFew,Asteroid Field (poor),Поле астероидов (плохое)
AsteroidFieldRich,Asteroid Field (rich),Поле астероидов (богатое)
AsteroidFieldPirates,Danger,Опасность
Station,Station,Станция
mapDepostMarkerName,Resource Deposit,Залежи ресурсов
hintCloseDialog,Close Dialog,Закрыть диалог
hint_CHAPTYPE_ActivatedByGame,{0} will be activated by the game,{0} будет активирован игрой
sortNone,No sorting,без сортировки
TurretAlien,Pulse Laser Turret (T2),Импульсная лазерная турель (К2)
bkiTurretAlien,"A small, but very strong laser turret used by ships and structures of the LEGACY faction.","Маленькая, но очень мощная лазерная турель, используемая судами и структурами фракции Наследие."
AsteroidTitan,Titanium Meteorite,Титановый метеорит
AsteroidIce,Ice Meteorite,Ледяной метеорит
IceResource,Ice,Лед
SteelPlateArmored,Sathium Plates,Сатиумные пластины
rgwRadarTracking,Proximity Log,Журнал сближений
tglInfoPanel,Info Panel,Инф. Панель
AluminiumOre,Aluminum Ore,Руда Алюминия
AluminiumPowder,Aluminum Powder,Алюминиевый порошок
AluminiumCoil,Aluminum Coil,Алюминиевая катушка
AluminiumResource,Aluminum,Алюминий
mapAluminiumResource,Aluminum,Алюминий
AsteroidAluminium,Aluminum Meteorite,Алюминиевый метеорит
PlatinOre,Platinum Ore,Руда Платины
PlatinBar,Platinum Ingots,Слиток Платины
PlatinOunce,Platinum Bar,Брусок Платины
PlatinResource,Platinum,Платина
mapPlatinResource,Platinum,Платина
AsteroidPlatin,Platinum Meteorite,Платиновый метеорит
vstJumpRangeAULY,Jump Range (AU/LY):,Дальность прыжка (АЕ/СГ)
vstTotalRangeAULY,Total Range (AU/LY):,Общая дальность (АЕ/СГ)
igmShipNtcTooHeavy,Ship TOO HEAVY to take off! \nWeight in excess: {0} \nRemove weight and/or add more thrusters.,Судно слишком тяжелое для взлета! \nИзбыточный вес: {0} \nУменьшите вес и/или добавьте дополнительные двигатели.
vstJumpRangeAU,Jump Range (AU):,Дальность прыжка (АЕ)
vstTotalRangeAU,Total Range (AU):,Общая дальность (АЕ)
cplLootId,Loot ID:,ID добычи:
cplLootIdHdr,Loot ID,ID добычи
bkiStaffOfGuidance,The Staff Of Guidance is an insignia of the Talon-Zirax Assembly.,Посох Управителя является символом Ассамблеи Талон-Зиракс.
bkiTalonCrossbowWeaponCharged,"The RHY KHA charged crossbow was a ceremonial weapon, used by the guards of the Elder Talon Academy of Sciences.","Заряженный арбалет RHY KHA был церемониальным оружием, которое использовали охранники Древних Талон Академии наук."
bkiTalonTurretEnemyBallistaCharged,"The HataM Charged Catapult is a devastating defense, attack and siege weapon invented in the century of Talon brotherhood wars.","Заряженная катапульта HataM - разрушительное оружие защиты, нападения и осады, изобретенное во времена войн братства Талон."
stiCostPerUnit,COST PER UNIT,ЦЕНА ЗА ШТ
stiUnitsNeeded,UNITS NEEDED,ШТ НУЖНО
stiUnityBuy,UNITS TO BUY,ШТ КУПИТЬ
stiTotalCost,PRICE,ЦЕНА
stiBuy,BUY,КУПИТЬ
stiStationNotAvailTitle,STATION SERVICES NOT ACTIVE!,СТАНЦИЯ ОБСЛУЖИВАНИЯ НЕ АКТИВНА!
stiStationWelcome,WELCOME TO THE STATION SERVICES AT {0},ДОБРО ПОЖАЛОВАТЬ В СТАНЦИЮ ОБСЛУЖИВАНИЯ НА {0}
stiModuleNotActive,NOT AVAILABLE,НЕТ В НАЛИЧИИ
cplStationInterface,Station Services,Станция обслуживания
cplRepair,REPAIR,РЕМОНТ
stiRepairInfo,REPAIR INFO,ИНФО ПО РЕМОНТУ
stiRepairGetDetails,GET COST,ПОЛУЧИТЬ СТОИМОСТЬ
stiRepairCost,REPAIR COST,СТОИМОСТЬ РЕМОНТА
stiRepairDataAvail,Repair template available!,Ремонтный шаблон доступен!
stiRepairNoDataAvail,Repair template not available!,Ремонтный шаблон не доступен!
stiRepairShipNotDamaged,Vessel not damaged.,Судно не повреждено.
stiRepairNoBackup,Repair template not available!,Ремонтный шаблон не доступен!
stiRepairNoSpace,Repair area blocked!,Зона ремонта заблокирована!
stiRepairLockCodeWrong,The entered lock code is wrong!,Введенный код блокировки неверен!
stiRepairDone,Vessel successfully repaired!,Судно успешно отремонтировано!
stiDiscount,Reputation to {0} is {1}; Price modifier:,Репутация {0} из {1}; Цены скорректированы:
stiServicesAvail,Available Station Services ( x local cost factor):,Доступные услуги станции (x местный фактор стоимости):
stiShieldFillAllCost,FILL UP SHIELD COST,СТОИМОСТЬ ЗАПОЛНЕНИЯ ЩИТА
stiErrCockpitNotMoving,You can only access the Station Services when seated in a cockpit and when the vessel is not moving.,Вы можете получить доступ к Станции обслуживания только когда сидите в кабине и когда судно неподвижно.
stiErrNoStationOrRepWrong,There is no base with a Station Service nearby or your reputation is not at least NEUTRAL!,"Нет базы со Станцией обслуживания поблизости, или ваша репутация ниже чем НЕЙТРАЛЬНА!"
stiErrAttackedRecently,You have been attacked or changed blocks or devices on your vessel less than 30 seconds ago!\n\nPlease wait before accessing the Station Services.,"Вы под атакой или были изменены блоки или устройства на вашем судне ближайшие 30 сек.!\n\nПожалуйста, подождите, прежде чем получить доступ к Станции обслуживания."
AllPlayers,All Players,Все игроки
Ranking,Ranking,По рангу
AllFactions,All Factions,Все фракции
YourFaction,Your Faction,Ваша фракция
stiAmmoContainerFull,Ammo containers are full. Not all could be bought!,Контейнеры с патронами заполнены. Не все было куплено!
stiWarpContainerFull,Warp drive tank is full. Not all could be bought!,Бак варп привода заполнен. Не все было куплено!
gmMiddleMouseButton,Use the MIDDLE MOUSE button to re-center on the position where you are currently located at.,"Используйте СКМ, чтобы отцентрировать ваше текущее положение"
gmHover,"HOVERING over a map object will reveal info about the playfield, depending on which of the top-right info tabs are selected.","Наведя курсор на объект карты, вы увидите информацию об игровом поле, в зависимости от того, как установлены вверху слева флажки."
gmSectorIcon,"Sectors include: Orbit, Planets, Moons\nCheck the INFO PANEL on the top left, then use the INFO TABS on the top right for more details.","Сектор содержит: Орбиту, Планеты, Луны\nПроверьте ИНФО ПАНЕЛЬ в левом верхнем углу, а затем используйте информационные вкладки в правом верхнем углу для получения более подробной информации."
gmSectorFocus,"Focus a sector by HOVERING over a sector icon without selecting it.\nDepending on the setting of the info tabs on the top-right, hovering will reveal details either for the Orbit or the Planet/Moon of the sector.","Сфокусируйте сектор, НАПРАВЛЯЯ на значок сектора, не выбирая его.\nВ зависимости от установки флажков в верхнем левом углу, при наведении указывается подробная информация об Орбите или Планете/Луне сектора."
igmNearbyStationInterface,You are in range of a base offering Station Services: {0},Вы находитесь в зоне действия Станции обслуживания: {0}
gmSectorPlayerLocation,Indicates where you are currently located at.\nYou can jump back to that map position with a MIDDLE-MOUSE button click.,"Указывает, где вы находитесь в данный момент.\nВы можете вернуться к этой позиции карты с помощью нажатия СРЕДНЕЙ КНОПКИ МЫШИ."
gmSectorWarpTarget,Indicates the selected warp target.\nUse CTRL+LMB to select and de-select a warp target.\nYou can use the LOCK TARGET button as well,Указывает на выбранную цель варпа.\nИспользуйте CTRL+ЛКМ для выбора и отмены выбора цели варпа.\nВы также можете использовать кнопку ФИКС ЦЕЛЬ
gmGalaxyIcon,"A solar system includes any planet, gas giant, asteroid field, stations and other points of interest.\nCheck the INFO PANEL on the top left, then use the INFO TABS on the top right for more details.","Солнечная система включает в себя любые планеты, газовые гиганты, астероидные поля, станции и другие достопримечательности.\nПроверьте панель информации в левом верхнем углу, а затем используйте вкладки информации в правом верхнем углу для получения дополнительной информации."
gmGalaxySelected,"Select a solar system by using LEFT MOUSE BUTTON (LMB). This will reveal details about its content, depending on the info tabs selection on the top right.
","Выберите солнечную систему, используя Левую Кнопку Мыши (ЛКМ). Это покажет детали о ее содержании, в зависимости от выбора информационных вкладок в правом верхнем углу."
gmGalaxyFocus,"Focus a solar system by HOVERING over it without selecting it.\nDepending on which of the top-right info tabs is selected, hovering will reveal more details about the system.","Сфокусируйте солнечную систему, НАПРАВЛЯЯ на нее, но не выбирая.\nВ зависимости от того, какая из информационных вкладок в верхнем правом углу выбрана, при наведении указывается более подробная информация о системе."
gmSectorSelected,Select a sector by using LEFT MOUSE BUTTON (LMB) to reveal details either for the Orbit or the Planet/Moon of the sector - depending on the selection of the top-right info tabs.,"Выберите сектор, используя ЛЕВУЮ КНОПКУ МЫШИ (ЛКМ), чтобы раскрыть подробности об Орбите или Планете/Луне сектора - в зависимости от выбора в верхнем правом углу информационных вкладок."
mapTypeDenied,Structure Type Denied:,Запрещенные типы структур:
gmTypeDeniedInfo,"You cannot enter that playfield with OR spawn a blueprint of the given structure type.\nAbbreviations: CV (Capital Vessels), HV (Hover Vessels), SV (Small Vessel), BA (Base)","Вы не можете войти в это игровое поле с ИЛИ размещать чертежи данного типа структуры.\nСокращения: БС (большое судно), ПС (парящее судно), МС (малое судно), БА (база)"
mapMaxTierAllowed,Max CPU Tier Allowed:,Макс. уровень ЦП:
gmMaxTierAllowedInfo,You cannot enter that playfield with a vessel OR spawn a blueprint OR  build higher than the given CPU Tier.\nAbbreviations example: BA(T1) means Base max CPU Tier 1 allowed. CV(T3) means Capital vessel max CPU Tier 3 allowed.,"Вы не можете войти в это игровое поле с судном ИЛИ разместить чертеж ИЛИ построить выше, чем данный ЦП.\nПример сокращений: БА (К1) означает, что для Базы разрешен максимум ЦП уровня 1. БС (К3) означает, что для Большого судна разрешен максимум ЦП уровня 3."
mapOriginAllowed,Origin Allowed:,Источник разрешен:
gmOriginAllowedInfo,You can only enter the playfield when you are a member of the given origin.\nYour origin is visible on your Player screen (TAB) or on the Faction screen.,"Вы можете войти на игровое поле только тогда, когда вы являетесь участником данного источника.\nИсточник виден на экране вашего игрока (TAB) или на экране фракции."
mapStationServices,Station Services:,Станция обслуживания:
mapSectorMapHelp,MAP INFORMATION,ИНФОРМАЦИЯ КАРТЫ
gmAdditionalSectorInfo,Additional Sector Info,Доп. инф. сектора
lswPvP,"When the icon lights up, you are in a Player-vs-Player area!","Когда значок загорается, вы находитесь в зоне PvP!"
hintCreateOfferAtTS,Create offers at a Trading Station device,Создание предложений на устройстве торговой станции
igmNoSpawnInPvEArea,Cannot spawn inside a PvE area!,Не может появиться в PvE-зоне!
igmNoWarpInPvEArea,Cannot warp from within a PvE area!,Варп не возможен из PvE-области!
hintNoCreditsToPayTransport,Not enough credits to pay transport costs,Недостаточно кредитов для оплаты транспортных расходов
cplPredator,Predator,Хищник
btnSearchStar,Search system,Поиск системы
dlgSearchStar,Enter the system name to search for,Введите название системы для поиска
LadderBlocks,Ladders,Лестницы
bkiLadderBlocks,Rungs and stringers are colorable and texturable,Значки и надписи раскрашиваются и текстурируются
bkiStationConsole,Can be set up with NPC dialogues: Access block while in godmode invisible (set gm iv in console) and add dialogue ID name from the dialogues config file,Можно настроить с помощью диалогов НИП: доступ к блоку в невидимом режиме (установить gm iv в консоли) и добавление имени идентификатора диалога из файла конфигурации диалогов
StationConsole,Station Console,Консоль Станции
bkiGamblingTableTwoPerson,Can be set up with NPC dialogues: Access block while in godmode invisible (set gm iv in console) and add dialogue ID name from the dialogues config file,Можно настроить с помощью диалогов НИП: доступ к блоку в невидимом режиме (установить gm iv в консоли) и добавление имени идентификатора диалога из файла конфигурации диалогов
bkiGamblingTableMultiplePeople,Can be set up with NPC dialogues: Access block while in godmode invisible (set gm iv in console) and add dialogue ID name from the dialogues config file,Можно настроить с помощью диалогов НИП: доступ к блоку в невидимом режиме (установить gm iv в консоли) и добавление имени идентификатора диалога из файла конфигурации диалогов
bkiConsoleLargeMS01a,Can be set up with NPC dialogues: Access block while in godmode invisible (set gm iv in console) and add dialogue ID name from the dialogues config file,Можно настроить с помощью диалогов НИП: доступ к блоку в невидимом режиме (установить gm iv в консоли) и добавление имени идентификатора диалога из файла конфигурации диалогов
bkiTacticalOfficer,Can be set up with NPC dialogues: Access block while in godmode invisible (set gm iv in console) and add dialogue ID name from the dialogues config file,Можно настроить с помощью диалогов НИП: доступ к блоку в невидимом режиме (установить gm iv в консоли) и добавление имени идентификатора диалога из файла конфигурации диалогов
bkiCommandingOfficer,Can be set up with NPC dialogues: Access block while in godmode invisible (set gm iv in console) and add dialogue ID name from the dialogues config file,Можно настроить с помощью диалогов НИП: доступ к блоку в невидимом режиме (установить gm iv в консоли) и добавление имени идентификатора диалога из файла конфигурации диалогов
bkiCommandingOfficer2,Can be set up with NPC dialogues: Access block while in godmode invisible (set gm iv in console) and add dialogue ID name from the dialogues config file,Можно настроить с помощью диалогов НИП: доступ к блоку в невидимом режиме (установить gm iv в консоли) и добавление имени идентификатора диалога из файла конфигурации диалогов
bkiSecurityGuard2,Can be set up with NPC dialogues: Access block while in godmode invisible (set gm iv in console) and add dialogue ID name from the dialogues config file,Можно настроить с помощью диалогов НИП: доступ к блоку в невидимом режиме (установить gm iv в консоли) и добавление имени идентификатора диалога из файла конфигурации диалогов
bkiCommandingOfficerAlien,Can be set up with NPC dialogues: Access block while in godmode invisible (set gm iv in console) and add dialogue ID name from the dialogues config file,Можно настроить с помощью диалогов НИП: доступ к блоку в невидимом режиме (установить gm iv в консоли) и добавление имени идентификатора диалога из файла конфигурации диалогов
bkiSecurityGuardAlien,Can be set up with NPC dialogues: Access block while in godmode invisible (set gm iv in console) and add dialogue ID name from the dialogues config file,Можно настроить с помощью диалогов НИП: доступ к блоку в невидимом режиме (установить gm iv в консоли) и добавление имени идентификатора диалога из файла конфигурации диалогов
bkiStandingTalon,Can be set up with NPC dialogues: Access block while in godmode invisible (set gm iv in console) and add dialogue ID name from the dialogues config file,Можно настроить с помощью диалогов НИП: доступ к блоку в невидимом режиме (установить gm iv в консоли) и добавление имени идентификатора диалога из файла конфигурации диалогов
bkiTalonChief,Can be set up with NPC dialogues: Access block while in godmode invisible (set gm iv in console) and add dialogue ID name from the dialogues config file,Можно настроить с помощью диалогов НИП: доступ к блоку в невидимом режиме (установить gm iv в консоли) и добавление имени идентификатора диалога из файла конфигурации диалогов
bkiZiraxCommander,Can be set up with NPC dialogues: Access block while in godmode invisible (set gm iv in console) and add dialogue ID name from the dialogues config file,Можно настроить с помощью диалогов НИП: доступ к блоку в невидимом режиме (установить gm iv в консоли) и добавление имени идентификатора диалога из файла конфигурации диалогов
GeneralPurposeConsole,Small Console,Малая Консоль
bkiGeneralPurposeConsole,Can be set up with NPC dialogues: Access block while in godmode invisible (set gm iv in console) and add dialogue ID name from the dialogues config file,Можно настроить с помощью диалогов НИП: доступ к блоку в невидимом режиме (установить gm iv в консоли) и добавление имени идентификатора диалога из файла конфигурации диалогов
bkiTraderBlock,NPC Traders\nConfigure the Trader Guilds member variants and their offers in Creative mode via Control Panel and it will spawn in Survival mode as configured.,"НИП Торговцы\nНастройте варианты членов Гильдии торговцев и их предложения в творческом режиме через панель управления, и они будет появляться в режиме выживания в соответствии с настройками."
ConsoleTrading,Large Console,Большая Консоль
bkiConsoleTrading,Can be set up with NPC dialogues: Access block while in godmode invisible (set gm iv in console) and add dialogue ID name from the dialogues config file,Можно настроить с помощью диалогов НИП: доступ к блоку в невидимом режиме (установить gm iv в консоли) и добавление имени идентификатора диалога из файла конфигурации диалогов
TurretZiraxMSLaser,Pulse Laser Turret (Zirax),Импульсная лазерная турель (Зиракс)
bkiTurretZiraxMSLaser,Variant used by the Zirax Empire on their Capital Vessels,"Вариант, использованный Империей Зиракс на своих БС"
TurretZiraxMSPlasma,Plasma Turret (Zirax),Плазменная турель (Зиракс)
bkiTurretZiraxMSPlasma,Variant used by the Zirax Empire on their Capital Vessels,"Вариант, использованный Империей Зиракс на своих БС"
TurretZiraxMSRocket,Rocket Turret (Zirax),Ракетная турель (Зиракс)
bkiTurretZiraxMSRocket,Variant used by the Zirax Empire on their Capital Vessels,"Вариант, использованный Империей Зиракс на своих БС"
SpaceDroneKrielLaser,Space Drone (Laser),Космический дрон (лазер)
mapSearchResults,SEARCH RESULTS,РЕЗУЛЬТАТЫ ПОИСКА
mapSectorName,Sector Name,Имя сектора
mapSystemName,System Name,Имя системы
mapStars,Stars,Звезды
mapPlanetsMoons,Planets/Moons,Планеты/Луны
mapSpace,Space,Космос
mapStations,Stations,Станции
mapEnterInstructions,Enter star or sector name:,Введите название звезды или сектора:
mapSortBySectorName,Sort by sector name,По имени сектора
mapSortBySystemName,Sort by system name,По имени системы
mapSortByDistance,Sort by distance (from current position),По дистанции (от текущей позиции)
hintShowTextImmediately,Show text immediately / \nShow next page,Показать текст немедленно /\nПоказать следующую страницу
igmEnterPassengerSeat,Press '{0}' to have a seat,Нажмите '{0}' чтобы занять место
repInfoOverviewGeneral,Trading with a faction requires at least NEUTRAL reputation\nFRIENDLY and HONORED will get you a price cut when trading,"Торговля с фракцией требует репутации не ниже НЕЙТРАЛЬНО,\nа при ДРУЖБА или УВАЖЕНИЕ вы получите более низкие цены при торговле"
SoldierAlienAssaultRifle,Guard,Охранник
SoldierAlienShotgun,Guard,Охранник
SoldierHumanMale2AssaultRifle,Elite Soldier,Спецназ
SoldierHumanMale2Shotgun,Elite Soldier,Спецназ
SoldierHumanMaleAssaultRifle,Soldier,Солдат
SoldierHumanMaleShotgun,Soldier,Солдат
PilotMale,Pilot,Пилот
OfficerFemale1,Officer,Офицер
OfficerFemale2,Officer,Офицер
OfficerMale1,Officer,Офицер
OfficerMale2,Officer,Офицер
Hexapod,Controller,Контролёр
AlienAssassinGrey,Soldier,Солдат
AlienAssassinRed,Assassin,Ассассин
Creepy,Creeper,Рептилоид
Overseer,Overseer,Надсмотрщик
TotalHorror,Abomination,Мерзость
Ripperdog,Ripperdog,Собака-потрошитель
Mechanoid,Combat Walker,Боевой ходок
SpaceDronePolarisLaser,Laser Drone,Дрон с лазером
SpaceDroneTraderLaser,Laser Drone,Дрон с лазером
bhiPlayerBackpack,Defines which items the player keeps from his inventory and toolbar when respawning after death.,"Определяет, какие предметы игрок хранит в своем инвентаре и на панели инструментов при возрождении после смерти."
diffBackpackNothing,Everything,Всё
diffBackpackBag,Toolbar items only,Только панель инструментов
diffBackpackEverything,Nothing,Ничего
HumanCivilianMale1,Civilian,Житель
HumanCivilianMale2,Civilian,Житель
HumanCivilianMale3,Civilian,Житель
HumanCivilianMale4,Civilian,Житель
HumanCivilianFemale1,Civilian,Житель
HumanCivilianFemale2,Civilian,Житель
TurretSVSmall,Minigun Turret,Пулеметная турель
SpaceDroneLegacyLaser,Laser Drone,Дрон с лазером
DrillAttachmentSVT2,Drill Module T2 - Laser,Буровой модуль К2 - Лазерный
SpaceDroneBattered01,Laser Drone (battered),Дрон с лазером (поврежден)
SpaceDroneBattered02,Laser Drone (battered),Дрон с лазером (поврежден)
PulseLaserChargeSS,Ls.Charge SV/HV,Лаз. заряд МС/ПС
mnuPlayerBackpack,Keep inventory on death,Сохранять инвентарь при смерти
PlasmaCannonAlien,Plasma Blaster,Плазменный бластер
PlasmaCannonAlienCharge,Plasma Blaster Charge,Пл. заряд бластера
FlameThrower,Flamethrower,Огнемет
hintDeleteActionAssignment,"To delete an action assignment: click to change, then press ESC","Чтобы удалить назначение действия: нажмите, чтобы изменить, затем нажмите ESC"
btnSearch,Find,Поиск
dlgTitleSearchStarOrPlanet,Search for star or planet,Поиск звезд или планет
FlameThrowerCanister,Flamethrower Fuel,Смесь для огнемета
bkiFlameThrower,A short-to-medium ranged weapon that fires and ignites a stream of modified biofuel to set targets on fire.\nATTENTION: Firing directly at the ground in front of you can hurt you as well!,"Оружие ближнего и среднего радиуса действия, которое выстреливает и поджигает поток модифицированного биотоплива для поджигания целей.\nВНИМАНИЕ: стрельба прямо по земле перед вами может навредить вам!"
bkiFlameThrowerCanister,Modified biofuel for use with Flamethrowers.,Модифицировать биотопливо для использования огнеметом.
bkiPlasmaCannonAlien,Plasma Blaster of unknown origin. The KRIEL Empire is said to have developed these weapons.,"Плазменный бластер неизвестного происхождения. Говорят, что империя Крил разработала это оружие."
bkiPlasmaCannonAlienCharge,Plasma Charge for use with a Plasma Blaster.,Пл. заряд для испольхования Плазменным бластером.
cplTraderDialogue,Dialogue,Диалог
titleRewardedBy:,Chapter can be unlocked by completing:,Глава может быть разблокирована после выполнения:
entityTalkTo,Press {{0}} to talk to {0},Нажмите {{0}} чтобы поговорить с {0}
AlienBug02Group,Alien Scorpion,Инопланетный скорпион
AlienBug03Group,Alien Bug,Инопланетный жук
