KEY,English,Deutsch
actdescBlocks,"[i]Q: How do i access the shapes for the building blocks (SURVIVAL & CREATIVE)?[/i]\nMove a building block to your toolbar. Highlight it and hit RIGHT-MOUSE button. This will open the new block-manager with all the shapes.\n\n[i]Q: Which of the building blocks are organized in such 'block families', available with the new block-shapes menu?[/i]\nCurrently the following building blocks are organized that way: Basic Building Block Materials (wood, concrete, steel, hardened steel), Windows, Truss, Stairs, Walkways, Deco (beds etc.), Consoles (Deco), Artificial Indoor Plants and Alien Blocks (for creative only).",""
acttitleBrotate,"Rotating Blocks",""
actdescBrotate,"[i]Q: How does the block rotation work?[/i]\nYou can rotate blocks BEFORE and AFTER you have placed them: \n\n[u]BEFORE:[/u] If you want to place a new block, you might notice a green line sticking out from the block. This is the ROTATION AXIS. Change with INSERT or DELETE (Default). If you use HOME or END (default), the block will rotate around the Axis line clockwise or counter-clockwise! Use PAGE UP and PAGE DOWN buttons to move the block up and down vertically! \n\n[u]AFTER:[/u] If you placed a block and would want to rotate it afterwards, you need to equip theMultitool and use its Rotation-Mode (Select via RMB). Aim at a block and you will see the ROTATION AXIS. From here, rotating the block works like when placing a new block (INS/DEL to change Axis, HOME/END to rotate the block).",""
acttitlePlane,"Block Lines and Planes",""
actdescPlane,"[i]Q: Is it possible to place blocks as a line or in a larger plane?[/i]\nYES! HOLD the left mouse button to drag a line of blocks. Hold STRG+left mouse button to create a plane area of blocks. Important Tip: when creating a plane are, make sure your stand is higher than the area you want to place. This makes it a lot easier to drag the plane from the start- to the end-point without getting in trouble with your view. And: you cannot place an endless line or an endless plane.",""
acttitleMisc,"Move Wireframe / Remove Dirt",""
actdescMisc,"[i]Q: Do I need to flatten the terrain ahead of placing a base starter block?[/i]\nNo. You can move the preview- wireframe UP and DOWN ahead of placing it. Please have a look in the Options menu to which keys this action is currently bound to (Default Page Up and Page down).\n\n[i]Q: I have built my base into a hill and need to remove the dirt. Does the drill or flatten mode of the Multitool damage my base blocks?[/i]\nNo.\n\n[i]Q: How do i remove blocks without using the Multitool Tool in CREATIVE?[/i]\nUse SHIFT-rightmouse click (This has been changed from pre-alpha as right-click also brings up the block-manager now)\n\n[i]Q: The night is so dark – what can I do?[/i]\nPlace some work lights! \n\n[u]Tip:[/u] The Player Drone (F5) can do ALL of the building tasks as well!",""
tasktitleBuilding2,"Building - Part II",""
taskheadBuilding2,"Building - Part II",""
acttitleMirror,"Mirror Planes",""
actdescMirror,"[i]Q: Can I use a mirror mode when building?[/i]\nYes. You need to hold a block in your hand. Then click and hold N and select the mirror plane you want to use. While still holding N, click on a block of your vessel that should serve as the 'mirror axis'. A mirror plane will be shown.  You can only use one mirror plane at a time.",""
acttitlePaint,"Painting and Texturing",""
actdescPaint,"[i]Q: Is it possible to re-texture devices like stairs or generators?[/i]\nYes!\n\n[i]Q: Is it possible to apply a texture or a paint to a whole block?[/i]\nYes. Just tick the 'apply to all sides' button in the paint/texture menu.\n\n[i]Q: Why do the available textures change in my tool while pointing at different blocks?[/i]\nThe available textures are split in two sections: \n1. Common textures that are available for all block materials. \n2. Special textures that are only available for certain materials.\n\nThe Special Textures are automatically loaded to the menu when pointing at a block with the texture tool!",""
acttitleWopac,"Window Opacity",""
actdescWopac,"[i]Q: How can I switch the opacity of the standard windows?[/i]\nEquip the Multitool and set to Rotate mode via RMB. Then aim at the window and left-mouse-click to swap the opacity (this does not work for the windows with blinds!)",""
acttitleSettings,"Change Device Settings",""
actdescSettings,"[i]Q: Do I need to walk up to any of my devices to adjust their settings, for example for changing the color of lights?[/i]\nThere are several ways how you can work on the devices of a base or vessel\n1. Walk up to a device, aim the crosshair at it and hit P. The Control Panel will open the device detail page! (You need to be in physical touch with the base or vessel!) \n2. Open the Control Panel (P) and use the list on the left to open the detail page",""
acttitleRename,"Renaming Base/Vessel/Devices",""
actdescRename,"[i]Q: Can I rename a base or vessel?[/i]\nYes. Open the Control Panel (P) and change the name of your base in the lower right corner of the info screen. Hit ENTER to save the name.\n\n[i]Q: Can I rename the devices of a base or vessel?[/i]\nYes. You first need to add them to a group manually or by using the auto-group feature. Then open the detail page of a device by selecting it from the list. Change the name in the top-middle box (next to NAME). Hit ENTER to save the name! \n\n[u]Please note (current limitations): [/u] \n- Un-grouped devices cannot be renamed. \n- Using auto-group a second time after having renamed devices will reset the renamed devices to standard name!",""
tasktitleVessel,"Vessel - Part I",""
taskheadVessel,"Vessel - Part I",""
acttitleDieO2,"No O2 in Cockpit",""
actdescDieO2,"[i]Q: I am dying from a lack of O2 while sitting in a cockpit in an oxygen rich atmosphere?[/i]\nALL cockpits (includes those of Capital Vessels) and are airtight. You need to add an O2 tank, filled with O2 bottles to your vessel. Otherwise you'll use up your suit O2. This might change when O2 becomes volumetric. This also applies to Passenger Seats in any vessel.",""
acttitleFlipped,"Hover Vessel Flipped",""
actdescFlipped,"[i]Q: My Hover Vessel has flipped to the side?[/i] \nUse SHIFT and it will upright itself (if there is enough empty room).",""
acttitleHorizon,"Align to Horizon (SV","CV)"
actdescHorizon,"[i]Q: I can't manage to align my Small or Capital Vessel to the horizon / can't get to a stable hovering position?[/i] \nHold O (default) and your vessel will align to the horizon and gain a stable hovering position. This won't work in space, though.",""
acttitleCVtip,"CV turns only very slowly",""
actdescCVtip,"[i]Q: My Capital Vessel turns very slow and I hate dragging the mouse for hours?[/i] \nEither add more RCS or use the ARROW KEYS for turning your Capital Vessel! Combine both and steering a large Capital Vessel will become much easier!",""
acttitleMCockpit,"Multi Cockpit Rules",""
actdescMCockpit,"[i]Q: Can I add more than one cockpit to my vessel?[/i]\nOf course! But remember: \n- The player that enters any cockpit AT FIRST will be the pilot of the ship. \n- If this cockpit is 90° or 180° to your mounted weapons, this pilot will not have the mounted weapons on this toolbar/at his disposal. \n- Only players that sit in a cockpit parallel to the alignment of any mounted weapon can use them.",""
tasktitleVessel2,"Vessel - Part II",""
taskheadVessel2,"Vessel - Part II",""
acttitleDocking,"Docking",""
actdescDocking,"[i]Q: Can I dock a Small Vessel or a Hover Vessel to a Capital Vessel?[/i]\nYes, but the to-be-docked vessels needs to be in the same faction as the Capital Vessel you want to dock it to. Exception: if the Capital Vessel is set to public, any private vessel can dock.\n\n[i]Q: Can I dock Small Vessel to Small Vessel or Hover Vessel to Small Vessel or Capital Vessel to a Base or any other combination?[/i]\nNo. Only Small Vessel/Hover Vessel can currently be docked to a Capital Vessel.\n\n[i]Q: How does docking work in particular?[/i]\nYour Hover Vessel or Small Vessel either need to be equipped with docking pads or landing gears attached BELOW the vessel corpus. Adding docking pads on the sides or on the top will not dock the vessel to the Capital Vessel! \n\nMove your Small Vessel or Hover Vessel onto the Capital Vessel. Lower the vessel with C and the Vessel will dock itself. There is no Docking-Key. Just have a look at the info screen on the right. It will show you a 'docked: ' with YES or NO. To undock, just hit SPACE and fly away. \n\n[u]Note:[/u] \n-  Small Vessel and Hover Vessel will not dock to any other blocks than steel or hardened steel. \n - You cannot dock a Small Vessel or Hover Vessel to a Capital Vessel landing gear!\n\n[i]Q: Do the Capital Vessel landing gears have any use?[/i]\nOther than looking cool and absorbing damage from a hard landing? Not yet.",""
acttitleAccessD,"Access Devices / Turrets Mid-flight",""
actdescAccessD,"[i]Q: Can I reload my turrets or manage my constructors while flying around?[/i]\nYou can access a turret or any device from a cockpit or a passenger seat! You can also reload your ammo containers or manage your constructors while sitting in the cockpit or passenger seat in mid-flight. Simply open the Control Panel (P) and use the ACCESS button of the device – or just double-click on it! Use the BACK button to return to the Control Panel or use T (default) to exit the view.",""
acttitleWarp,"Warp",""
actdescWarp,"[i]Q: How do I warp with a ship?[/i]\nWarping is currently only possible with Capital Vessels. \n1. Add a warp drive and a warp tank to the vessel. Search for the blue crystals, turn them into Pentaxid (in a Constructor) and put them into the warp tank. Each jump will use up a given amount of Pentaxid, but Blue Crystals can be found all over the Solar System. (See Chapter 'Harvesting and Resources') \n2. To do a warp jump, fly to space, open the Space Map (M) and click the Solar System Tab. You will see a list of jump destinations on the left.  Select a destination from the left and click on 'LOCK TARGET on the bottom right. \n3. A yellow/orange crosshair will appear in your view or on the side of your helmet. Turn your vessel towards the blue rectangle, accelerate to at least 60m/s and hit K (default) to jump.\n\n[i]Q: Can my passengers take a seat in a docked vessel while warping?[/i]\nNO! Your passengers need to take a seat in a passenger seat in your Capital Vessel when warping, when flying to space or back to a planet. Otherwise they might get dropped out and will be left behind.",""
tasktitleWeapon,"Weapons and Defenses",""
taskheadWeapon,"Weapons and Defenses",""
acttitleRange,"Range of Weapons",""
actdescRange,"[i]Q: The range of the weapons says XX meters, but it does not seem to hit anything![/i]\nCheck the EFFECTIVE RANGE info on the bottom right!  On a planet, the range will be much lower, depending on the density of the atmosphere.",""
acttitleDamageW,"Damage of Tools / Chainsaw",""
actdescDamageW,"[i]Q: Does the drill or the filler & flatten tool, harvester or the chainsaw damage own or enemy blocks or enemies at all?[/i]\nNo, with one exception: the chainsaw can be used for close combat fights.",""
acttitleEpicW,"Epic Weapons",""
actdescEpicW,"[i]Q: Can Epic Weapons be crafted or unlocked in the Techtree?[/i]\nNo, but they use the same ammo as the standard versions (Unlocking the standard weapon version will automatically unlock its ammo!). Epic Weapons can be found in the purple containers in Alien POIs.",""
acttitleAmmo,"Turrets and Mounted Weapons",""
actdescAmmo,"[i]Q: How do I reload / add ammo to my guns and turrets?[/i]\n- You need to build an ammo box and add it to your base or vessel. Then find out which ammo your guns need and just put it in the ammo box. The ammo box does not need to be near the turret. Keep it in a save place\n-  Turrets will reload themselves from the ammo box.  Fixed guns on Small Vessel/Hover Vessel and Capital Vessel will also reload automatically if you keep the fire button pressed. \n- You can access a turret or any device from a cockpit or a passenger seat! You can also reload your ammo containers or manage your constructors while sitting in the cockpit or passenger seat in mid-flight. Simply open the Control Panel (P) and use the ACCESS button of the device – or just double-click on it! Use the BACK button to return to the Control Panel or use F (default) to exit the view. \n-  You can enter a turret and reload or shoot it manually! \n-  You can NOT warp or fly to space or down to a planet while sitting in a turret!",""
acttitleTaccess,"Turret Access and Targeting (CV","HV"
actdescTaccess,"[i]Q: How do I access a turret for a Hover Vessel and Capital Vessel?[/i]\nEnter the cockpit or  a passenger seat. Open the Control Panel (P) and find the turret in the list on the left. Then, either select the turret and use the ACCESS on the top right screen OR just double-click the turret to activate the gunnery HUD. Use F (default) to exit the turret.\n\n[i]Q: How do I access a turret in a Base?[/i]\nUse the Control-Panel as described above OR stand next to a turret and hit F (default) to enter it.\n\n[i]Q: How does turret targeting work? (Base/Capital Vessel/Hover Vessel?[/i]\nTurrets are AI-controlled guns that will shoot on any target that is set in their detail screen. To change their target behavior, open the Control Panel and select the turret from the list. You can activate/deactivate or change the targeting parameters in the 'Attack' overview. \n- Other Factions = anyone that does not belong to YOUR faction (Private is also a faction!) \n- Alien = Alien Drones, Soldiers and Crawlers\n- Predator = Fauna that will attack you without being provoked (like Wood Walkers or Plant Monsters). Also includes the Talon on Eleen (despite they do not attack when not provoked)\n- Prey = Fauna that will not attack you (unless being provoked).",""
tasktitlePOI,"Alien POIs",""
taskheadPOI,"Alien POIs",""
acttitlePdoor,"POI Door Not Responding",""
actdescPdoor,"[i]Q: I cannot open the door of the POI!?[/i]\nAs long as you did not destroy the Alien Core, you need to open the doors by force, what means by weapon fire.",""
acttitlePblocks,"POI Blocks Indestructible",""
actdescPblocks,"[i]Q: I have destroyed the Alien Core and cannot destroy blocks of the base anymore!?[/i]\nAs soon as you destroyed the Alien Core, the base is set to public. What means, that in a PvE environment, the blocks of the base are protected against any weapon fire. Use the Remove and Repair tool from now an (as you would when working at your very own base)",""
acttitleTeleporter,"POI Defenders Reinforcements",""
actdescTeleporter,"[i]Q: Alien Soldiers and Defenders keep respawning. Help!?[/i]\nYou need to destroy their teleporters! Watch out for the teleporter blocks on the floor! The reinforcements will stop no earlier than you having destroyed their gateways! If you leave the POI, after 5 minutes they will teleport back to their homes and come back if you enter the POI again.",""
acttitlePbase,"Capture POI",""
actdescPbase,"[i]Q: Is it possible to capture a POI and make it my own base?[/i]\nOf course, although Alien Ion Cannons, Teleporters and Sentries will not work anymore.",""
tasktitlePdrone,"Player Drone",""
taskheadPdrone,"Player Drone",""
acttitlePlayerD,"Building Helper",""
actdescPlayerD,"[i]Q: How does the Player Drone work (F5)?[/i]\nThe drone is a building helper. It can use all building features including placing blueprints and using the Remove & Repair tool. It cannot use ALL tools or weapons yet. \n\nHit F5 to spawn the Player drone. It does not cost you resources or energy to do so, but it has a limited range. If you keep going farther away, the view will get distorted and finally be cut off. Your drone is lost. You can recall it using F5. \n\nIf the drone is destroyed by other players or just lost, you will not lose its inventory, as the inventory or blocks in the toolbar are technically still in your players inventory/toolbar.",""
tasktitleFaction,"Faction",""
taskheadFaction,"Faction",""
acttitleJoin,"Create or Join",""
actdescJoin,"[i]Q: How to create or join a faction?[/i]\n- Open your inventory and click the Faction button. Just create one as you see fit. \n- You can join an existing faction or manage your faction (candidates) from the same screen",""
acttitleFvessel,"Change Faction Property Ownership",""
actdescFvessel,"[i]Q: Is it possible to revert the faction status of a vessel or base back to public or private?[/i]\nYes, but only the Faction owner can do that.",""
acttitleFoprot,"Offline Protection for Faction Property",""
actdescFoprot,"[i]Q: Does the Offline Protection also protect all our faction structures in PvP?[/i]\nOf course, but for factions the Offline Protection only activates, if no one of your faction members is on the server anymore!",""
acttitleFsetting,"Set Single Device to Public",""
actdescFsetting,"[i]Q: Can I set specific devices like passenger seats for public use?[/i]\nYes! Just access the device via Control Panel and set a lock code. For public access use 0000",""
acttitleFally,"Allies",""
actdescFally,"[i]Q: Is there a way to mark a faction as a 'friendly ally' allowing them to use our devices?[/i]\nYES! You can send a alliance request to a befriended faction!",""
tasktitleCP,"Control Panel",""
taskheadCP,"Control Panel",""
acttitleRemote,"Device Remote Access",""
actdescRemote,"[i]Q: Is it possible to access Containers or Constructors from remote, other than standing next to them?[/i]\nYes! Open the Control Panel (P) and use the ACCESS button for devices like Turrets, Constructors, Containers and more! You can also DOUBLE-CLICK on the device!  Use the BACK button on the top left corner of the screen to get back to the Control Panel or use F (default) to exit the view.\n\n[i]Q: I cannot open any turret on my Hover Vessel or Capital Vessel when standing next to them and using F?[/i]\nFor turrets on vessels you need to use the ACCESS button from the Control Panel as they cannot be accessed directly when standing next to them.",""
acttitleRenameD,"Renaming and Advanced Stats",""
actdescRenameD,"[i]Q: Can I rename a base or vessel?[/i]\nYes. Open the Control Panel (P) and change the name of your base in the lower right corner of the info screen. Hit ENTER to save the name.\n\n[i]Q: Can I rename the devices of a base or vessel?[/i]\nYes. You first need to add them to a group manually or by using the auto-group feature. Then open the detail page of a device by selecting it from the list. Change the name in the top-middle box (next to NAME). Hit ENTER to save the name! \n\n[u]Please note (current limitations): [/u] \n- Un-grouped devices cannot be renamed. \n- Using auto-group a second time after having renamed devices will reset the renamed devices to standard name!\n\n[i]Q: There is a small 'Statistics' icon on the bottom-right area of the Control Panel?[/i] \nThis provides more in-detail info about your vessel or base. For vessels, you'll get an expanded view with torque diagrams and other useful details!",""
acttitleGroup,"Grouping Devices",""
actdescGroup,"[i]Q: I noticed I can group devices in the Control Panel of a base or a vessel – are there more features available here?[/i]\nYes. For example: If you group all of your forward and rear facing thrusters into separate groups, you can activate and deactivate them individually.\n\n[i]Q: Are these group-setting functions available with all device groups?[/i]\nNot yet.",""
acttitleSetFaction,"Change Faction / Ownership",""
actdescSetFaction,"[i]Q: Where can I set my vessel or base to private or faction?[/i]\nOpen the Control Panel (P) and select your faction from the dropdown on the bottom right. \n- Public = anyone can use/work on it with tools\n- Private = only Owner can use / work on it with tools\n- Faction = only Faction members can use /work on it with tools \n\n[u]Note:[/u] Private or Public are also counted as a 'faction' (technically)",""
acttitleHome,"Set Homebase",""
actdescHome,"[i]Q: What is the effect of the HOME selection in the Control Panel ?[/i]\nYou can make one of your Bases or Capital Vessels your HOME. This will open up a new Respawn-option in the Respawn menu. The difference too all other options: Even if you die in a remote place (like on another planet or in space with no possibility to escape), the HOME option will teleport you back to this Capital Vessel or BA – even if it is not in the same playfield! \n\n[u]Note:[/u] Build either a Medic Bay (Level 7) or a Clone Chamber (Level 1) for setting the Respawn point more precisely\n\n[i]Q: What is the Clone Chamber all about?[/i]\nIf you tagged on of your BA or Capital Vessel as HOME without having a Clone Chamber or Medic Bay built, you will teleported back close to your HOME. With a Clone Chamber (or Medic Bay) you will spawn exactly where this devices is located at!\n\n[i]Q: Can I tag more than one BA or Capital Vessel as HOME?[/i]\nNo. Only on Capital Vessel or BA of yours can be set to HOME at any time.",""
tasktitleBP,"Blueprints",""
taskheadBP,"Blueprints",""
acttitleCreate,"Save a Blueprint",""
actdescCreate,"[i]Q: How do I create a blueprint?[/i]\nYou need to be in touch with your vessel or at least quite close to it. Aim at it with the crosshair and hit rightALT+O (default). The Blueprint library will pop up and give you three options: SAVE AS, OVERWRITE or CANCEL. Use SAVE AS, type in a cool name and you are done! From now on you can always use your blueprint in and Singleplayer or Multiplayer game!\n\n[i]Q: Why should I create a blueprint of my Base or Vessels?[/i]\nThere are several good reasons:\n- The Game is still in Alpha, so your savegame might get broken. If you blueprinted all your stuff, you can easily recover from a messed up situation! \n- Blueprints allow you to work on a design in Creative mode – and use the blueprint elsewhere (Multiplayer AND Singleplayer)",""
acttitleSpawn,"Build a Blueprint / Factory",""
actdescSpawn,"[i]Q: How do I spawn a Blueprint / How does the FACTORY work?[/i]\nThe following applies to a standard Singleplayer- or Multiplayer Survival game. \n1. Open the Blueprint Library (F2). You'll see a list with all of your blueprints on the left and an info panel on the right. \n2. Select a Blueprint from the list and use the button TO FACTORY\n3. Add resources to the Factory intake, until all slots of the resource list are green. \n[u]Tip:[/u] You can reduce the waiting time for the blueprint to be finished down to nearly zero if you add more complex blocks like devices instead of ingots! \n[u]Note:[/u] You can NOT remove resources from the factory yet – but you can use it for the next blueprints as the resources are stored. \n4. Start the production and wait. You'll get notified when your blueprint is ready! \n5. If you see the message of your blueprint being finished, open the Blueprint Library again, scroll to the top of the list on the left and select the finished blueprint. \n6. Use the SPAWN button to place the blueprint in the world. \n[u]Tip:[/u] You can move the blueprint wireframe UP and DOWN ahead of placing it! Please have a look in the Options menu to which keys this action is currently bound to (Default: Page Up /  Page down). \n\n[b]Important:[/b] If you playing on a server from different PCs, make sure all of the PCs have the same blueprints available in the /Blueprints folder!",""
acttitleShortcut,"Singleplayer Cheat",""
actdescShortcut,"[i]Q: Is there a shortcut /cheat to spawn my blueprint immediately?[/i]\nYes, there are two situations where you can skip the waiting time: \n1. In a Singleplayer Game (Survival) or as a Admin/Mod/Gamemaster on your server (Survival), open the Blueprint Library (F2), highlight the desired blueprint and click TO FACTORY. You do NOT need to add resources! Just open the Console (Tilde key ` by default) and enter 'finishbp'. \n2. When playing in a Creative Singleplayer- or Multiplayer Game, you just need to open the Blueprint library, select the desired Blueprint and hit SPAWN.",""
acttitlePublish,"Publish to Workshop",""
actdescPublish,"[i]Q: How do I upload my Blueprint to the Workshop?[/i]\nJust hit the PUBLISH button when having selected a blueprint from the list. A completion message will pop up on the top right if your Blueprint has been uploaded to the workshop.\n\n[i]Q: Can I update a blueprint and have it replace my already published workshop item?[/i]\nOf course.  Spawn your Blueprint in a Survival or Creative game and make the changes you want to update. Then save the changes by OVERWRITING the original blueprint (rightALT+O -> select your blueprint -> OVERWRITE). Then hit the UPDATE button.  It may take a few seconds until the blueprint is published/updated. A message on the top right will notify you about the upload process being completed.",""
acttitleBPmisc,"MISC Questions",""
actdescBPmisc,"[i]Q: I can't create a Blueprint?[/i] \nDo you own the building or vessel you are trying to blueprint? You can only blueprint structures that are either owned by you (Private) or by your faction.\n\n[i]Q: My Base (placed from pre-Alpha blueprint) explodes when changing any block!?[/i] \nIf you want to place a blueprint from Pre-Alpha, start a creative game first, switch off SI (Open Console and enter 'Si off') and save as a new blueprint. This will fix most of the problems – except a non-SI conform design.\n\n[i]Q: Do I need to flatten the terrain ahead of placing a blueprinted base?[/i]\nNo. You can move the blueprint wireframe UP and DOWN ahead of placing it. Please have a look in the Options menu to which keys this action is currently bound to (Default Page Up and Page down).\n\n[i]Q: I have placed my blueprint-base into hill and need to remove the dirt. Does the drill or the Filler & Flatten tool damage my base blocks?[/i]\nNo.\n\n[i]Q: Will subscribing to a blueprint in the workshop while the game is running update it immediately?[/i]\nYes. It may take a few seconds, though.\n\n[i]Q: Some of my Blueprints in the Library are RED. What does this mean?[/i]\nThis is either a result of the  blueprint being not compatible with your current game version OR the blueprint contains forbidden blocks (like Alien Turrets, Alien Core, Monster Spawners, Loot Containers). You can load the blueprint in CREATIVE mode, remove the forbidden blocks, then save it and then you should have it available in Survival Mode again.",""
tasktitleCreative,"Creative Mode",""
taskheadCreative,"Creative Mode",""
acttitleRemove,"Remove Blocks",""
actdescRemove,"[i]Q: How do I remove blocks in Creative Mode?[/i]\n- Either use the Multitool or hold any block in your hands and use SHIFT-RightMouse Click. \n- The R&R tool will not remove blocks on both sides of an active mirror plan. Only deleting blocks with the SHIFT-Right Mouse method will do so.",""
acttitleCmirror,"Paint and Texture Mirror",""
actdescCmirror,"[i]Q: Can I use both the paint- and texture gun with the mirror mode?[/i]\nNot yet.",""
acttitleCmatz,"Materials and Harvesting",""
actdescCmatz,"[i]Q: Do I need to harvest and gather materials in Creative?[/i]\nNo, you do not. Just click H (Default) and you have all blocks at your disposal (Singleplayer and Server)",""
acttitleCpoi,"Create own POIs",""
actdescCpoi,"[i]Q: Can i create a POI in Creative Mode and use it in my custom game?[/i]\nYes, YOU CAN! \n1. Go to your In-game Blueprint library (F2) \n2. Double-click any BASE (Small Vessel/Hover Vessel/Capital Vessel won't work) \n3. Set a group name\n4. Use the group name in your customized playfield.yaml\n\nIf you want creatures spawn in your base, create that base in CREATIVE and add the Monster-Spawners. Same applies for the Alien POI loot containers.",""
tasktitleConsole,"Console Commands and  Administration",""
taskheadConsole,"Console Commands and  Administration",""
acttitleUse,"Access Console and Commands",""
actdescUse,"[i]Q: How do i use Console Commands in Singleplayer (Survival/Creative)?[/i]\n- Just open the Console (see Options > Controls) and enter 'help'. This will show you all the commands that are available by now. \n- Type in 'help' and add a command to reveal its syntax and values. Like 'help faction' will show you everything you need to know about the faction command\n- Console commands only work on a multiplayer server if you are either Admin, Moderator or Gamemaster!\n\n [i]Q: How to use Console Commands when playing on a (local) Dedicated Server (Creative/Survival)?[/i]\nYou can't. The owner or and admin of the server needs to promote you to the Gamemaster permission group at least.",""
acttitleDestr,"Delete Base",""
actdescDestr,"[i]Q: How to destroy or delete a base from in-game (as admin)?[/i]\nEnter 'di' in the console and an overlay will be added on top of your screen. Go close to a base or a vessel and point at it. The overlay will tell you the ID of the Base/Vessel. Use the ID with the 'destroy' command.",""
acttitleAdmin,"Admin Setting",""
actdescAdmin,"[i]Q: How to make myself admin of my local Dedicated Server (selfhosted)?[/i]\n- Use TELNET (Microsoft Service included in Windows) and use the setrole command.\n- Alternatively use the adminconfig.yaml example file available/explained here: http://bit.ly/EGSadminfile\n\n[i]Q: How to make myself admin of my rented Dedicated Server?[/i]\nUse telnet (via remoteconsole) or talk to your hoster to update the adminconfig.yaml accordingly.",""
acttitlePgroup,"Promote to Permission Group",""
actdescPgroup,"[i]Q: How to add players to a specific permission group?[/i]\nAs soon as you are promoted to Admin status, you can EITHER use Telnet OR the ingame-console to achieve that. Use 'help setrole' to learn the syntax and the values you can use.",""
tasktitlePDAInfo,"PDA Info",""
taskheadPDAInfo,"PDA Info",""
acttitleDeactivate,"Deactivate PDA HUD",""
actdescDeactivate,"[i]Q: Is it possible to deactivate the HUD-PDA Tasks shown on the right side of the screen?[/i]\nOf course. Open the PDA (F1) and deselect the 'Activate HUD' toggle.",""
acttitleTsks,"Close Tasks Manually",""
actdescTsks,"[i]Q: I got stuck in a PDA Task, what can I do?[/i]\nSome of the tasks can be completed manually. Just tick the checkbox in front of the task and it will be completed.",""
acttitleFuture,"PDA Expansions",""
actdescFuture,"[i]Q: Do you plan to expand the PDA with more features?[/i]\nOf course!",""
tasktitleGlobMisc,"MISC Topics",""
taskheadGlobMisc,"MISC Topics",""
acttitlePlayer,"Change Player Name / EPD",""
actdescPlayer,"[i]Q: How to change my player name?[/i]\nYou need to change your player name over at steampowered.com or from within your Steam Client.\n\n[i]Q: What is my Empyrion Steam Player ID? (often referred to as EGS Steam ID or EPD)?[/i]\nYour Player ID is a string of numbers. If you need to know your EPD, open the explorer and go to one of your savegames PLAYER folder: ../Steam/steamapps/common/Empyrion - Galactic Survival/Saves/Games/YourSavegameName/Players/..\n\nYou'll find a file with the .ply ending there. The numbers are your EPD. \n\n[u]Note:[/u] Do not mix up the EPD with your Steam Account or Web ID. The EPD is a player ID unique to the game. The Steam Account/Web ID is the ID you are using on steampowered.com or other Steam-related topics (like for the webshops or login to websites).",""
acttitleReport,"Report an Issue",""
actdescReport,"[i]Q: How to report an issue with the game?[/i]\nIf the issue can be reproduced, head over to the forums and report your bug in the bug threads. \n\nIf you are getting a 'Continue or Quit' Error in Singleplayer, remember what you last did before this happened. Then exit the game, grab your Output_log.txt (can be found here: ../Steam/steamapps/common/Empyrion - Galactic Survival/Empyrion_Data), zip and upload your savegame and send everything to support@empyriongame.com with a detailed description on what has happened. \n\nIf you are the Server Owner, please also zip the server savegame PLUS send ALL the files that are located in your servers LOG folder! (../Steam/steamapps/common/Empyrion - Galactic Survival/Logs)",""
acttitleBarriers,"Orange Pole Barrier and Green Curtain",""
actdescBarriers,"[i]Q: There is an orange fishnet/honeycomb-style wall on the planets poles?[/i] \nThis is the so called 'pole barrier'. It exists because of technical reasons on how the Planets and the planetary playfields are created. It will be removed in the course of development sooner or later.\n\n[i]Q: I have flown through a green curtain while traveling on the planet!?[/i] \nThis is the connection point of the planetary map.  It exists because of technical reasons on how the Planets and the planetary playfields are created. It will be removed in the course of development sooner or later.",""
acttitleSaveGame,"Save a Game",""
actdescSaveGame,"[i]Q: How does saving a game work?[/i]\n There are three ways: \n1. [u]AUTOSAVE:[/u] The game auto-saves every time you leave an ongoing session (ESC -> Door symbol), overwriting the initial savegame. \n2. [u]MANUAL SAVE:[/u] If you hit ESC you'll notice a SAVE button designed like a disk. When you hit the SAVE-button a new savegame will be created with the extension _BACKUP. If you hit the button repeatedly, the _BACKUP extension will get added some numbers\n3. [u]COPY SAVE:[/u] From the main menu, open RESUME GAME. Select a savegame and use the COPY button. This will create a manual backup with a _COPY extension. \n\n[u]Please note:[/u] you cannot load a savegame while in-game, yet.",""
acttitleEAC,"Easy Anti Cheat (EAC)",""
actdescEAC,"[i]Q: Do I need to use EAC (Easy Anti Cheat) for Singleplayer?[/i]\nNo. You can switch off EAC via the main menu. Go to MISC and set EAC to NO. But please note: With EAC deactivated, you cannot access any server that is EAC protected!",""
acttitleOpenEscPod_cplMsg,"Touch down! Let's grab the content...","$*"
acttitleGrabEquipment_cplMsg,"Alright, let's see where I am actually...","$*"
acttitlePlSurvConstr_cplMsg,$,$
acttitleAddCraftingMats_cplMsg,$,$
acttitleFuelPackTempl_cplMsg,$,$
acttitleBike_cplMsg,$,$
acttitleStartProduction_cplMsg,$,$
acttitlePlaceOxGen_cplMsg,$,$
acttitlePowerOxGen_cplMsg,$,$
acttitleEdiblePlants_cplMsg,$,$
acttitleMedPlants_cplMsg,$,$
acttitleConsumeItem_cplMsg,$,$
acttitleKillAnimal_cplMsg,$,$
acttitleLootAnimal_cplMsg,$,$
acttitleSurvivalCooking_cplMsg,$,$
acttitleCraftAR_cplMsg,$,$
acttitleCraftAmmo_cplMsg,$,$
acttitlePickupOre_cplMsg,$,$
acttitlePlaceBAStarter_cplMsg,$,$
acttitleSmallBAGen_cplMsg,$,$
acttitleSmallBAFuelTank_cplMsg,$,$
acttitleBALargeConstr_cplMsg,$,$
acttitleActivateBA_cplMsg,$,$
